system:index,0,0.5,1,1.5,total_area_96,total_area_20,total_loss,total_gain,change,per_change,seascape_size
"-1,945,358",N,N,N,N,0,0,0,0,0,0,25
"-1,944,358",N,N,N,N,0,0,0,0,0,0,25
"-1,943,358",N,N,N,N,0,0,0,0,0,0,25
"-1,982,359",N,N,N,N,0,0,0,0,0,0,25
"-1,981,359",N,N,N,N,0,0,0,0,0,0,25
"-1,980,359",N,N,N,N,0,0,0,0,0,0,25
"-1,979,359",N,N,N,N,0,0,0,0,0,0,25
"-1,978,359",N,N,N,N,0,0,0,0,0,0,25
"-1,977,359",MS,M,M,M,0.565070546,0.564783996,0.000859679,0.000573129,-0.00028655,-0.050710482,25
"-1,976,359",MSR,MSR,MSR,MSR,5.774498528,6.17077499,3.302905791,3.699182252,0.396276462,6.862525985,25
"-1,975,359",MSR,SR,SR,SR,2.05149051,3.663573885,1.350087999,2.962171375,1.612083375,78.58107884,25
"-1,974,359",SR,SR,SR,SR,0.841500523,0.382491862,0.783052117,0.324043457,-0.459008661,-54.54644988,25
"-1,973,359",SR,SR,SR,SR,2.026527692,1.041754998,1.781844714,0.79707202,-0.984772694,-48.59409017,25
"-1,972,359",SR,SR,SR,SR,2.839972506,0.318892126,2.750293182,0.229212802,-2.52108038,-88.77129531,25
"-1,971,359",S,S,S,S,0.818057927,0,0.818057927,0,-0.818057927,-100,25
"-1,970,359",S,S,S,S,0.61689188,0,0.61689188,0,-0.61689188,-100,25
"-1,969,359",SR,SR,SR,SR,2.838598085,0.057590877,2.823985732,0.042978523,-2.781007208,-97.97115071,25
"-1,968,359",SR,SR,SR,SR,6.016992769,0.339816367,5.911552407,0.234376004,-5.677176402,-94.35238864,25
"-1,967,359",SR,SR,SR,SR,3.891312556,0.466743599,3.705360907,0.28079195,-3.424568957,-88.00549706,25
"-1,966,359",SR,SR,SR,R,1.185743203,0.696040989,0.989166102,0.499463887,-0.489702214,-41.29917952,25
"-1,965,359",SR,SR,SR,SR,5.414225239,1.7621738,4.727689211,1.075637771,-3.652051439,-67.45289082,25
"-1,964,359",N,N,N,N,0,0,0,0,0,0,25
"-1,963,359",N,N,N,N,0,0,0,0,0,0,25
"-1,962,359",N,N,N,N,0,0,0,0,0,0,25
"-1,961,359",N,N,N,N,0,0,0,0,0,0,25
"-1,960,359",N,N,N,N,0,0,0,0,0,0,25
"-1,959,359",N,N,N,N,0,0,0,0,0,0,25
"-1,958,359",N,N,N,N,0,0,0,0,0,0,25
"-1,957,359",N,N,N,N,0,0,0,0,0,0,25
"-1,956,359",N,N,N,N,0,0,0,0,0,0,25
"-1,955,359",N,N,N,N,0,0,0,0,0,0,25
"-1,954,359",N,N,N,N,0,0,0,0,0,0,25
"-1,953,359",N,N,N,N,0,0,0,0,0,0,25
"-1,952,359",N,N,N,N,0,0,0,0,0,0,25
"-1,951,359",N,N,N,N,0,0,0,0,0,0,25
"-1,950,359",N,N,N,N,0,0,0,0,0,0,25
"-1,949,359",N,N,N,N,0,0,0,0,0,0,25
"-1,948,359",N,N,N,N,0,0,0,0,0,0,25
"-1,947,359",S,N,N,N,0.001719314,0,0.001719314,0,-0.001719314,-100,25
"-1,946,359",N,N,N,N,0,0,0,0,0,0,25
"-1,945,359",N,N,N,N,0,0,0,0,0,0,25
"-1,944,359",N,N,N,N,0,0,0,0,0,0,25
